"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 02 15:39:21 GMT 2025","Fri May 02 15:39:25 GMT 2025","4294","Homework Suite","Regression for homework","homework.RichTextEditorTest","homework.RichTextEditorTest","validateTextInRichTextEditor_Test3","validateTextInRichTextEditor_Test3","Playing with rich text editor"
"passed","Fri May 02 15:39:40 GMT 2025","Fri May 02 15:39:48 GMT 2025","7342","Homework Suite","Regression for homework","homework.SauceDemoTest","homework.SauceDemoTest","automatePurchaseProcess_Test_1","automatePurchaseProcess_Test_1","Verifies purchase process of the sauce lab's demo page"
"passed","Fri May 02 15:39:07 GMT 2025","Fri May 02 15:39:08 GMT 2025","633","Homework Suite","Regression for homework","homework.ApiTest","homework.ApiTest","getUsersAndVerifyAtInFirstEmail_Test_5","getUsersAndVerifyAtInFirstEmail_Test_5","Gets users from an endpoint parses it and verifies that the first user has @ symbol in it's e-mail"
"passed","Fri May 02 15:39:24 GMT 2025","Fri May 02 15:39:32 GMT 2025","8012","Homework Suite","Regression for homework","homework.SauceDemoTest","homework.SauceDemoTest","automatePurchaseProcess_Test_1","automatePurchaseProcess_Test_1","Verifies purchase process of the sauce lab's demo page"
"passed","Fri May 02 15:39:21 GMT 2025","Fri May 02 15:39:23 GMT 2025","2558","Homework Suite","Regression for homework","homework.SauceDemoTest","homework.SauceDemoTest","verifyLoginErrorAndFooter_Test_2","verifyLoginErrorAndFooter_Test_2","Verifies login error on sauce lab's demo page"
"passed","Fri May 02 15:39:08 GMT 2025","Fri May 02 15:39:10 GMT 2025","1756","Homework Suite","Regression for homework","homework.ApiTest","homework.ApiTest","restAssuredDemo","restAssuredDemo","More compact RestAssured demo"
"passed","Fri May 02 15:39:25 GMT 2025","Fri May 02 15:43:57 GMT 2025","271883","Homework Suite","Regression for homework","homework.DemoGuru99Test","homework.DemoGuru99Test","iframeTabHandlingAlertTest_Test_4","iframeTabHandlingAlertTest_Test_4","Interacts with elements in an iframe, closes a browser tab, raises and handles an alert, and interacts with a dropdown"
"passed","Fri May 02 15:39:29 GMT 2025","Fri May 02 15:39:31 GMT 2025","2600","Homework Suite","Regression for homework","homework.RetryTest","homework.RetryTest","passesAfterRetriesAndTakesScreenshot","passesAfterRetriesAndTakesScreenshot","This test verifies the retry feature of the framework"
"passed","Fri May 02 15:39:33 GMT 2025","Fri May 02 15:39:40 GMT 2025","7272","Homework Suite","Regression for homework","homework.SauceDemoTest","homework.SauceDemoTest","automatePurchaseProcess_Test_1","automatePurchaseProcess_Test_1","Verifies purchase process of the sauce lab's demo page"
