"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 19 13:01:03 GMT 2025","Wed Mar 19 13:01:05 GMT 2025","2441","Homework Suite","Regression for homework","homework.SauceDemoTest","homework.SauceDemoTest","verifyLoginErrorAndFooter_Test_2","verifyLoginErrorAndFooter_Test_2","Verifies login error on sauce lab's demo page"
"passed","Wed Mar 19 13:01:03 GMT 2025","Wed Mar 19 13:01:12 GMT 2025","9194","Homework Suite","Regression for homework","homework.SauceDemoTest","homework.SauceDemoTest","automatePurchaseProcess_Test_1","automatePurchaseProcess_Test_1","Verifies purchase process of the sauce lab's demo page"
"passed","Wed Mar 19 13:00:59 GMT 2025","Wed Mar 19 13:01:00 GMT 2025","748","Homework Suite","Regression for homework","homework.ApiTest","homework.ApiTest","getUsersAndVerifyAtInFirstEmail_Test_5","getUsersAndVerifyAtInFirstEmail_Test_5","Gets users from an endpoint parses it and verifies that the first user has @ symbol in it's e-mail"
"passed","Wed Mar 19 13:00:59 GMT 2025","Wed Mar 19 13:01:03 GMT 2025","3701","Homework Suite","Regression for homework","homework.ApiTest","homework.ApiTest","restAssuredDemo","restAssuredDemo","More compact RestAssured demo"
"passed","Wed Mar 19 13:01:13 GMT 2025","Wed Mar 19 13:01:16 GMT 2025","2399","Homework Suite","Regression for homework","homework.RetryTest","homework.RetryTest","passesAfterRetriesAndTakesScreenshot","passesAfterRetriesAndTakesScreenshot","This test verifies the retry feature of the framework"
"passed","Wed Mar 19 13:01:06 GMT 2025","Wed Mar 19 13:05:42 GMT 2025","275799","Homework Suite","Regression for homework","homework.DemoGuru99Test","homework.DemoGuru99Test","iframeTabHandlingAlertTest_Test_4","iframeTabHandlingAlertTest_Test_4","Interacts with elements in an iframe, closes a browser tab, raises and handles an alert, and interacts with a dropdown"
"passed","Wed Mar 19 13:01:12 GMT 2025","Wed Mar 19 13:01:20 GMT 2025","7530","Homework Suite","Regression for homework","homework.SauceDemoTest","homework.SauceDemoTest","automatePurchaseProcess_Test_1","automatePurchaseProcess_Test_1","Verifies purchase process of the sauce lab's demo page"
"passed","Wed Mar 19 13:01:20 GMT 2025","Wed Mar 19 13:01:27 GMT 2025","6976","Homework Suite","Regression for homework","homework.SauceDemoTest","homework.SauceDemoTest","automatePurchaseProcess_Test_1","automatePurchaseProcess_Test_1","Verifies purchase process of the sauce lab's demo page"
"passed","Wed Mar 19 13:01:03 GMT 2025","Wed Mar 19 13:01:07 GMT 2025","3888","Homework Suite","Regression for homework","homework.RichTextEditorTest","homework.RichTextEditorTest","validateTextInRichTextEditor_Test3","validateTextInRichTextEditor_Test3","Playing with rich text editor"
