"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 10 18:45:28 GMT 2025","Mon Mar 10 18:45:33 GMT 2025","4859","Homework Suite","Regression for homework","homework.RichTextEditorTest","homework.RichTextEditorTest","validateTextInRichTextEditor_Test3","validateTextInRichTextEditor_Test3","Playing with rich text editor"
"passed","Mon Mar 10 18:45:25 GMT 2025","Mon Mar 10 18:45:26 GMT 2025","649","Homework Suite","Regression for homework","homework.ApiTest","homework.ApiTest","getUsersAndVerifyAtInFirstEmail_Test_5","getUsersAndVerifyAtInFirstEmail_Test_5","Gets users from an endpoint parses it and verifies that the first user has @ symbol in it's e-mail"
"passed","Mon Mar 10 18:45:31 GMT 2025","Mon Mar 10 18:45:33 GMT 2025","1901","Homework Suite","Regression for homework","homework.SauceDemoTest","homework.SauceDemoTest","verifyLoginErrorAndFooter_Test_2","verifyLoginErrorAndFooter_Test_2","Verifies login error on sauce lab's demo page"
"passed","Mon Mar 10 18:45:28 GMT 2025","Mon Mar 10 18:45:36 GMT 2025","8173","Homework Suite","Regression for homework","homework.SauceDemoTest","homework.SauceDemoTest","automatePurchaseProcess_Test_1","automatePurchaseProcess_Test_1","Verifies purchase process of the sauce lab's demo page"
"passed","Mon Mar 10 18:45:36 GMT 2025","Mon Mar 10 18:45:38 GMT 2025","2000","Homework Suite","Regression for homework","homework.RetryTest","homework.RetryTest","retryDemoRichText","retryDemoRichText","This test verifies the retry feature of the framework"
"passed","Mon Mar 10 18:45:28 GMT 2025","Mon Mar 10 18:50:49 GMT 2025","321336","Homework Suite","Regression for homework","homework.DemoGuru99Test","homework.DemoGuru99Test","iframeTabHandlingAlertTest_Test_4","iframeTabHandlingAlertTest_Test_4","Interacts with element in an iframe, closes a browser tag, raises and handling an alert and also dropdown"
